ID,Name,Exercise type,BodyPart,Equipment,Gender,Target,Synergist,file names
1038,Lever Chair Squat,Strength,Thighs,Leverage machine,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",10381301-Lever-Chair-Squat_Thighs_180.webp
1039,Lever Full Squat,Strength,Thighs,Leverage machine,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii",10391301-Lever-Full-Squat_Thighs_180.webp
1040,Lever Pistol Squat,Strength,Thighs,Leverage machine,Male,Splenius,"Levator Scapulae, Sternocleidomastoid",10401301-Lever-Pistol-Squat_Thighs_180.webp
1041,Lever Lying Chest Press (plate loaded),Strength,Chest,Leverage machine,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii",10411301-Lever-Lying-Chest-Press-(plate-loaded)_Chest_180.webp
1042,Weighted Lying Neck Extension,Strength,Neck,Weighted,Male,Splenius,"Levator Scapulae, Sternocleidomastoid",10421301-Weighted-Lying-Neck-Extension_neck_180.webp
1043,Weighted Lying Neck Flexion,Strength,Neck,Weighted,Male,Sternocleidomastoid,"Levator Scapulae, Splenius",10431301-Weighted-Lying-Neck-Flexion_neck_180.webp
1045,Barbell Seated Military Press (inside squat cage),Strength,Shoulders,Barbell,Male,Deltoid Anterior,"Deltoid Lateral, Pectoralis Major Clavicular Head, Serratus Anterior, Triceps Brachii",10451301-Barbell-Seated-Military-Press-(inside-squat-cage)_Shoulders_180.webp
1046,Cable Elevated Row,Strength,Back,Cable,Male,Latissimus Dorsi,"Brachialis, Brachioradialis, Deltoid Posterior, Infraspinatus, Pectoralis Major Sternal Head, Teres Major, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers",10461301-Cable-Elevated-Row_Back_180.webp
1047,Cable Close-Grip Front Lat Pulldown,Strength,Back,Cable,Male,Latissimus Dorsi,"Brachialis, Brachioradialis, Deltoid Posterior, Pectoralis Major Sternal Head, Teres Major, Trapezius Lower Fibers, Trapezius Middle Fibers",10471301-Cable-Close-Grip-Front-Lat-Pulldown_Back_180.webp
1060,Barbell Hip Thrust,Strength,Hips,Barbell,Male,Gluteus Maximus,"Hamstrings, Quadriceps",10601301-Barbell-Hip-Thrust_Hips_180.webp
1160,Burpee,Aerobic,Cardio,Body weight,Male,,,11601301-Burpee_Cardio_180.webp
1162,Barbell Standing Military Press,Strength,Shoulders,Barbell,Male,Deltoid Anterior,"Deltoid Lateral, Pectoralis Major Clavicular Head, Serratus Anterior, Triceps Brachii",11621301-Barbell-Standing-Military-Press_Shoulders_180.webp
1163,Lying Leg Raise,Strength,Waist,Body weight,Male,Rectus Abdominis,"Gluteus Maximus, Iliopsoas, Quadriceps, Sartorius, Tensor Fasciae Latae",11631301-Lying-Leg-Raise_Waist_180.webp
1164,Smith Calf Raise (version 2),Strength,Calves,Smith machine,Male,Gastrocnemius,Soleus,11641301-Smith-Calf-Raise-(version-2)_Calves_180.webp
1173,Barbell Incline Wide Reverse-grip Bench Press,Strength,Chest,Barbell,Male,Pectoralis Major Clavicular Head,"Biceps Brachii, Brachialis, Brachioradialis, Deltoid Anterior, Pectoralis Major Sternal Head, Serratus Anterior, Triceps Brachii",11731301-Barbell-Incline-Wide-Reverse-grip-Bench-Press_Chest_180.webp
1176,Dumbbell Incline Front Raise,Strength,Shoulders,Dumbbell,Male,Deltoid Anterior,"Deltoid Lateral, Pectoralis Major Clavicular Head, Serratus Anterior",11761301-Dumbbell-Incline-Front-Raise_Shoulders_180.webp
1177,Dumbbell Lying Hammer Press (version 2),Strength,Chest,Dumbbell,Male,Pectoralis Major Sternal Head,"Biceps Brachii, Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii",11771301-Dumbbell-Lying-Hammer-Press-(version-2)_Chest_180.webp
1179,Flutter Kicks (version 2),Strength,Hips,Body weight,Male,Gluteus Maximus,Hamstrings,11791301-Flutter-Kicks-(version-2)_Hips_180.webp
1190,Incline Twisting Sit-up (version 2),Strength,Waist,Body weight,Male,"Iliopsoas, Obliques","Pectineous, Quadriceps, Rectus Abdominis, Tensor Fasciae Latae",11901301-Incline-Twisting-Sit-up-(version-2)_Waist-FIX_180.webp
1194,Lever Lying T-bar Row,Strength,Back,Leverage machine,Male,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Biceps Brachii, Brachialis, Brachioradialis, Deltoid Posterior, Pectoralis Major Sternal Head, Triceps Brachii",11941301-Lever-Lying-T-bar-Row_Back_180.webp
1195,Lever Incline Hammer Chest Press,Strength,Chest,Leverage machine,Male,Pectoralis Major Clavicular Head,"Deltoid Anterior, Pectoralis Major Sternal Head, Triceps Brachii",11951301-Lever-Incline-Hammer-Chest-Press_Chest_180.webp
1196,Dumbbell Alternate Biceps Curl,Strength,Upper Arms,Dumbbell,Male,Biceps Brachii,"Brachialis, Brachioradialis",11961301-Dumbbell-Alternate-Biceps-Curl_Upper-Arms_180.webp
1197,Squat (male),Strength,Thighs,Body weight,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",11971301-Squat-m_Thighs_180.webp
1202,Cable horizontal Pallof Press,Strength,Waist,Cable,Male,Obliques,,12021301-Cable-horizontal-Pallof-Press_waist_180.webp
1203,Cable one arm inner biceps curl,Strength,Upper Arms,Cable,Male,Brachialis,"Biceps Brachii, Brachioradialis",12031301-Cable-one-arm-inner-biceps-curl_upper-arms_180.webp
1206,Cable pull through,Strength,Hips,Cable,Male,Gluteus Maximus,"Erector Spinae, Hamstrings",12061301-Cable-pull-through_hips_180.webp
1213,Cable vertical Pallof Press,Strength,Waist,Cable,Male,Obliques,,12131301-Cable-vertical-Pallof-Press_waist_180.webp
1214,Dumbbell Incline reverse-grip 30 degrees bench press,Strength,Chest,Dumbbell,Male,Pectoralis Major Clavicular Head,"Biceps Brachii, Deltoid Anterior, Pectoralis Major Sternal Head, Triceps Brachii",12141301-Dumbbell-Incline-reverse-grip-30-degrees-bench-press_chest_180.webp
1216,Lever seated one leg calf raise,Strength,Calves,Leverage machine,Male,Soleus,Gastrocnemius,12161301-Lever-seated-one-leg-calf-raise_calves_180.webp
1220,Lever Calf Raise (bench press machine),Strength,Calves,Leverage machine,Male,Gastrocnemius,Soleus,12201301-Lever-Calf-Raise-(bench-press-machine)_Calves_180.webp
1221,Lever Shrug (bench press machine),Strength,Back,Leverage machine,Male,Trapezius Upper Fibers ,"Levator Scapulae, Trapezius Middle Fibers",12211301-Lever-Shrug-(bench-press-machine)_Back_180.webp
1223,Underhand-Grip Inverted Back Row,Strength,Back,Body weight,Male,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Biceps Brachii, Brachialis, Brachioradialis, Deltoid Posterior, Pectoralis Major Sternal Head, Triceps Brachii",12231301-Underhand-Grip-Inverted-Back-Row_180.webp
1228,Dumbbell Standing Inner Biceps Curl,Strength,Upper Arms,Dumbbell,Male,Biceps Brachii,Brachialis,12281301-Dumbbell-Standing-Inner-Biceps-Curl_Upper-Arms_180.webp
1232,Lever Seated Squat,Strength,Thighs,Leverage machine,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",12321301-Lever-Seated-Squat_Thighs_180.webp
